Source: ACS 5-Year Estimates Public Use Microdata Sample 2022
Weight used: PWGTP
"Universe: selected geographies: California"
"","Recoded detailed Hispanic origin (HISP)","","","","","","","","","","","","","","","","","","","","","","","",""
"Age recode (AGEP_RC1)","Total","Not Spanish/Hispanic/Latino","Mexican","Puerto Rican","Cuban","Dominican","Costa Rican","Guatemalan","Honduran","Nicaraguan","Panamanian","Salvadoran","Other Central American","Argentinean","Bolivian","Chilean","Colombian","Ecuadorian","Paraguayan","Peruvian","Uruguayan","Venezuelan","Other South American","Spaniard","All Other Spanish/Hispanic/Latino"
" -> Total -> Total California -> Total Potawatomi alone","1008","909","99","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"85+","20","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1 - 4","14","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5 - 14","53","33","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15 - 24","113","96","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25 - 34","38","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"35 - 44","218","172","46","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"45 - 54","208","192","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"55 - 64","210","210","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"65 - 74","50","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"75 - 84","73","73","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0 - 1","11","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -> Total -> Total California -> Total Pueblo alone","2423","1338","812","0","0","0","0","0","0","12","0","33","0","0","0","0","0","0","0","0","0","0","0","163","65"
"85+","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1 - 4","19","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0"
"5 - 14","155","116","39","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15 - 24","243","118","103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22","0"
"25 - 34","485","367","118","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"35 - 44","403","151","232","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","0"
"45 - 54","302","165","94","0","0","0","0","0","0","0","0","33","0","0","0","0","0","0","0","0","0","0","0","10","0"
"55 - 64","577","311","125","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","102","27"
"65 - 74","192","96","58","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","38"
"75 - 84","42","9","33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0 - 1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -> Total -> Total California -> Total Puget Sound Salish alone","289","208","81","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"85+","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1 - 4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5 - 14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15 - 24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25 - 34","109","109","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"35 - 44","81","0","81","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"45 - 54","28","28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"55 - 64","41","41","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"65 - 74","30","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"75 - 84","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0 - 1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -> Total -> Total California -> Total Sioux alone","3081","2248","705","0","0","0","0","15","0","86","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27"
"85+","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1 - 4","240","0","240","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5 - 14","189","126","63","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15 - 24","234","191","28","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25 - 34","711","488","223","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"35 - 44","384","239","59","0","0","0","0","0","0","86","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"45 - 54","411","369","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"55 - 64","295","245","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"65 - 74","383","356","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27"
"75 - 84","173","173","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0 - 1","61","61","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -> Total -> Total California -> Total South American Indian alone","2314","177","85","143","27","0","0","0","0","0","0","9","0","0","34","62","236","231","20","1122","0","11","92","6","59"
"85+","41","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29","0","12","0","0","0","0","0"
"1 - 4","18","0","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5 - 14","131","3","20","0","0","0","0","0","0","0","0","0","0","0","0","16","25","0","0","67","0","0","0","0","0"
"15 - 24","234","16","0","14","0","0","0","0","0","0","0","0","0","0","0","0","45","18","0","141","0","0","0","0","0"
"25 - 34","536","146","0","12","27","0","0","0","0","0","0","9","0","0","25","0","15","6","20","209","0","0","33","0","34"
"35 - 44","262","0","28","40","0","0","0","0","0","0","0","0","0","0","0","0","48","55","0","91","0","0","0","0","0"
"45 - 54","367","0","6","0","0","0","0","0","0","0","0","0","0","0","0","28","34","43","0","220","0","11","0","0","25"
"55 - 64","334","12","13","34","0","0","0","0","0","0","0","0","0","0","0","0","48","19","0","183","0","0","19","6","0"
"65 - 74","261","0","0","15","0","0","0","0","0","0","0","0","0","0","0","18","0","52","0","136","0","0","40","0","0"
"75 - 84","130","0","0","28","0","0","0","0","0","0","0","0","0","0","9","0","21","9","0","63","0","0","0","0","0"
"0 - 1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -> Total -> Total California -> Total Tohono O'Odham alone","1441","497","822","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","122","0"
"85+","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1 - 4","24","0","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5 - 14","158","2","156","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15 - 24","113","4","109","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25 - 34","298","72","192","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","34","0"
"35 - 44","151","63","88","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"45 - 54","189","33","156","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"55 - 64","194","113","65","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","0"
"65 - 74","91","19","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","57","0"
"75 - 84","223","191","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","0"
"0 - 1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -> Total -> Total California -> Total Yaqui alone","6429","1079","4942","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","78","312"
"85+","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1 - 4","78","11","67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5 - 14","330","129","201","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15 - 24","969","209","665","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","95"
"25 - 34","871","52","753","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","54","12"
"35 - 44","1347","156","1028","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","150"
"45 - 54","984","215","755","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14"
"55 - 64","898","146","723","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0"
"65 - 74","772","96","635","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","41"
"75 - 84","155","65","90","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0 - 1","25","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -> Total -> Total California -> Total Other specified American Indian tribes alone","48333","8501","16094","569","12","43","38","13153","453","181","12","7052","226","0","0","0","84","0","0","96","0","177","0","173","1469"
"85+","345","227","96","0","0","0","0","9","0","5","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1 - 4","1910","453","706","0","0","11","0","342","0","14","0","354","0","0","0","0","0","0","0","0","0","0","0","0","30"
"5 - 14","5915","825","2144","67","0","0","0","1482","68","29","0","889","99","0","0","0","0","0","0","0","0","0","0","61","251"
"15 - 24","7032","754","2413","103","0","0","0","2670","57","32","0","650","84","0","0","0","28","0","0","0","0","69","0","0","172"
"25 - 34","7936","1239","2558","71","0","0","0","2767","23","27","0","1147","0","0","0","0","0","0","0","0","0","0","0","12","92"
"35 - 44","8256","1266","2438","155","0","32","10","2352","140","23","0","1428","43","0","0","0","30","0","0","11","0","53","0","10","265"
"45 - 54","6739","1126","2410","38","0","0","18","1431","118","51","0","980","0","0","0","0","17","0","0","69","0","55","0","47","379"
"55 - 64","5109","1005","1673","10","12","0","0","1190","40","0","12","961","0","0","0","0","0","0","0","16","0","0","0","7","183"
"65 - 74","3307","892","1133","90","0","0","0","691","7","0","0","403","0","0","0","0","9","0","0","0","0","0","0","16","66"
"75 - 84","1260","573","349","35","0","0","10","99","0","0","0","163","0","0","0","0","0","0","0","0","0","0","0","20","11"
"0 - 1","524","141","174","0","0","0","0","120","0","0","0","69","0","0","0","0","0","0","0","0","0","0","0","0","20"
" -> Total -> Total California -> Total All other specified American Indian tribe combinations","47330","35556","10256","122","19","0","0","15","0","0","0","49","0","0","0","4","94","0","0","5","4","0","0","231","975"
"85+","591","527","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","46"
"1 - 4","2036","1648","358","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","25"
"5 - 14","6733","5023","1586","14","14","0","0","0","0","0","0","37","0","0","0","4","0","0","0","0","0","0","0","3","52"
"15 - 24","8131","6318","1686","2","0","0","0","0","0","0","0","1","0","0","0","0","30","0","0","0","0","0","0","60","34"
"25 - 34","6292","4514","1707","30","5","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","2","0","0","4","19"
"35 - 44","5793","4085","1575","0","0","0","0","0","0","0","0","0","0","0","0","0","25","0","0","0","0","0","0","0","108"
"45 - 54","5614","4035","1265","65","0","0","0","0","0","0","0","0","0","0","0","0","26","0","0","0","0","0","0","87","136"
"55 - 64","5686","4239","1169","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","242"
"65 - 74","4091","3353","555","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","25","145"
"75 - 84","1919","1511","229","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27","137"
"0 - 1","444","303","108","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","31"
" -> Total -> Total California -> Total American Indian, tribe not specified","20844","6420","11734","27","57","0","206","414","77","164","0","643","0","0","15","0","25","15","0","129","0","97","0","162","659"
"85+","111","56","43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12"
"1 - 4","1234","425","692","3","0","0","0","10","0","0","0","70","0","0","0","0","0","0","0","0","0","34","0","0","0"
"5 - 14","2608","819","1426","4","0","0","66","182","0","22","0","45","0","0","0","0","0","0","0","0","0","32","0","0","12"
"15 - 24","3148","631","2004","0","0","0","140","89","0","10","0","140","0","0","0","0","0","0","0","0","0","0","0","26","108"
"25 - 34","3995","1163","2292","0","0","0","0","76","77","44","0","124","0","0","0","0","0","0","0","45","0","0","0","0","174"
"35 - 44","3142","796","1811","11","57","0","0","31","0","21","0","107","0","0","15","0","0","0","0","42","0","31","0","22","198"
"45 - 54","2258","751","1406","0","0","0","0","10","0","0","0","8","0","0","0","0","25","0","0","17","0","0","0","41","0"
"55 - 64","2174","725","1238","0","0","0","0","16","0","0","0","82","0","0","0","0","0","0","0","25","0","0","0","22","66"
"65 - 74","1532","565","703","9","0","0","0","0","0","67","0","67","0","0","0","0","0","15","0","0","0","0","0","17","89"
"75 - 84","602","468","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","34","0"
"0 - 1","40","21","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -> Total -> Total California -> Total Alaskan Athabascan alone","111","96","6","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0"
"85+","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1 - 4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5 - 14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15 - 24","21","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25 - 34","10","1","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0"
"35 - 44","18","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"45 - 54","10","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"55 - 64","52","46","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"65 - 74","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"75 - 84","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0 - 1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -> Total -> Total California -> Total Tlingit-Haida alone","549","494","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","55"
"85+","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1 - 4","10","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5 - 14","25","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15"
"15 - 24","54","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40"
"25 - 34","58","58","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"35 - 44","24","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"45 - 54","151","151","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"55 - 64","58","58","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"65 - 74","50","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"75 - 84","119","119","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0 - 1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -> Total -> Total California -> Total Inupiat alone","711","309","341","61","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"85+","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1 - 4","44","10","34","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5 - 14","41","25","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15 - 24","125","29","71","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25 - 34","30","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"35 - 44","221","76","124","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"45 - 54","82","37","45","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"55 - 64","66","0","51","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"65 - 74","71","71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"75 - 84","31","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0 - 1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -> Total -> Total California -> Total Yup'ik alone","211","182","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"85+","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1 - 4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5 - 14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15 - 24","48","33","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25 - 34","150","136","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"35 - 44","13","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"45 - 54","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"55 - 64","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"65 - 74","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"75 - 84","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0 - 1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -> Total -> Total California -> Total Aleut alone","279","193","53","0","33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"85+","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1 - 4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5 - 14","10","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15 - 24","41","29","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25 - 34","77","60","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"35 - 44","11","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"45 - 54","15","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"55 - 64","48","14","34","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"65 - 74","66","64","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"75 - 84","11","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0 - 1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -> Total -> Total California -> Total Other Alaska Native","801","439","192","0","159","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0"
"85+","28","28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1 - 4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5 - 14","20","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15 - 24","247","150","97","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25 - 34","63","18","45","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"35 - 44","68","46","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0"
"45 - 54","66","66","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"55 - 64","193","34","0","0","159","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"65 - 74","116","77","39","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"75 - 84","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0 - 1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -> Total -> Total California -> Total Other American Indian and Alaska Native specified","16937","5562","8493","74","0","0","0","823","42","0","0","492","0","0","3","49","48","15","0","35","0","0","0","459","842"
"85+","114","92","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16"
"1 - 4","1037","203","601","33","0","0","0","148","0","0","0","14","0","0","3","16","0","0","0","19","0","0","0","0","0"
"5 - 14","2897","614","1591","0","0","0","0","332","0","0","0","278","0","0","0","13","0","0","0","0","0","0","0","0","69"
"15 - 24","2453","560","1405","18","0","0","0","127","14","0","0","107","0","0","0","0","26","0","0","0","0","0","0","7","189"
"25 - 34","2680","784","1277","10","0","0","0","136","28","0","0","47","0","0","0","0","22","0","0","16","0","0","0","19","341"
"35 - 44","2466","743","1425","13","0","0","0","47","0","0","0","16","0","0","0","20","0","0","0","0","0","0","0","93","109"
"45 - 54","2016","742","949","0","0","0","0","0","0","0","0","30","0","0","0","0","0","15","0","0","0","0","0","220","60"
"55 - 64","1224","717","473","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26","8"
"65 - 74","1246","703","455","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","88","0"
"75 - 84","541","364","171","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0"
"0 - 1","263","40","140","0","0","0","0","33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50"
" -> Total -> Total California -> Total American Indian and Alaska Native, not specified","66769","16573","42380","375","368","0","0","1291","142","136","157","1351","0","25","13","0","153","5","0","178","0","18","15","763","2826"
"85+","970","327","560","0","22","0","0","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21"
"1 - 4","2426","535","1470","0","56","0","0","15","0","0","43","56","0","0","0","0","30","0","0","0","0","0","0","9","212"
"5 - 14","8424","1684","5772","78","134","0","0","217","0","0","0","172","0","0","0","0","0","0","0","0","0","0","0","79","288"
"15 - 24","11460","2385","7729","57","0","0","0","299","35","0","39","212","0","0","0","0","0","0","0","47","0","18","0","40","599"
"25 - 34","10170","2625","6407","0","11","0","0","143","42","56","0","267","0","0","0","0","87","5","0","60","0","0","11","72","384"
"35 - 44","10165","1881","6698","185","119","0","0","217","0","19","41","261","0","0","4","0","0","0","0","50","0","0","4","169","517"
"45 - 54","7955","2016","4952","55","0","0","0","115","60","10","0","244","0","0","0","0","19","0","0","0","0","0","0","159","325"
"55 - 64","7686","2135","4962","0","26","0","0","103","5","39","0","117","0","0","9","0","0","0","0","21","0","0","0","49","220"
"65 - 74","5288","2109","2757","0","0","0","0","90","0","0","34","20","0","0","0","0","17","0","0","0","0","0","0","66","195"
"75 - 84","1743","725","781","0","0","0","0","52","0","12","0","2","0","0","0","0","0","0","0","0","0","0","0","120","51"
"0 - 1","482","151","292","0","0","0","0","0","0","0","0","0","0","25","0","0","0","0","0","0","0","0","0","0","14"
" -> Total -> Total California -> Total Asian Indian alone","856180","852567","2132","104","114","87","0","167","28","8","0","66","0","0","22","0","0","0","0","29","0","2","0","15","839"
"85+","6996","6996","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1 - 4","50639","50385","175","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","59"
"5 - 14","118481","117928","360","25","20","0","0","31","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","104"
"15 - 24","84977","84450","283","31","21","0","0","31","28","0","0","53","0","0","0","0","0","0","0","0","0","0","0","0","80"
"25 - 34","170731","169953","451","0","53","87","0","43","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","15","127"
"35 - 44","178801","178179","278","13","0","0","0","39","0","0","0","0","0","0","22","0","0","0","0","21","0","0","0","0","249"
"45 - 54","105933","105582","241","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","102"
"55 - 64","63327","63040","220","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","59"
"65 - 74","41813","41755","48","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10"
"75 - 84","23499","23460","27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12"
"0 - 1","10983","10839","49","35","0","0","0","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","37"
